Risk_Aversion,Error
0.1,0.2578311999991612
0.2,0.2578311999991612
0.30000000000000004,0.2578311999991612
0.4,0.2578311999991612
0.5,0.2578311999991612
0.6,0.2578311999991612
0.7000000000000001,0.2578311999991612
0.8,0.2578311999991612
0.9,0.2578311999991612
1.0,0.2578311999991612
1.1,0.2578311999991612
1.2000000000000002,0.2578311999991612
1.3000000000000003,0.2578311999991612
1.4000000000000001,0.2578311999991612
1.5000000000000002,0.2578311999991612
1.6,0.2578311999991612
1.7000000000000002,0.2578311999991612
1.8000000000000003,0.2578311999991612
1.9000000000000001,0.2578311999991612
2.0,0.2578311999991612
2.1,0.2578311999991612
2.2,0.2578311999991612
2.3000000000000003,0.2578311999991612
2.4000000000000004,0.2578311999991612
2.5000000000000004,0.2578311999991612
2.6,0.2578311999991612
2.7,0.2578311999991612
2.8000000000000003,0.2578311999991612
2.9000000000000004,0.2578311999991612
3.0000000000000004,0.2578311999991612
3.1,0.2578311999991612
3.2,0.2578311999991612
3.3000000000000003,0.2578311999991612
3.4000000000000004,0.2578311999991612
3.5000000000000004,0.2578311999991612
3.6,0.2578311999991612
3.7,0.2578311999991612
3.8000000000000003,0.2578311999991612
3.9000000000000004,0.2578311999991612
4.0,0.2578311999991612
4.1,0.2578311999991612
4.2,0.2578311999991612
4.3,0.2578311999991612
4.3999999999999995,0.2578311999991612
4.5,0.2578311999991612
4.6,0.2578311999991612
4.7,0.2578311999991612
4.8,0.2578311999991612
4.9,0.2578311999991612
5.0,0.2578311999991612
5.1,0.2578311999991612
5.2,0.2578311999991612
5.3,0.2578311999991612
5.4,0.2578311999991612
5.5,0.2578311999991612
5.6,0.2578311999991612
5.7,0.2578311999991612
5.8,0.2578311999991612
5.9,0.2578311999991612
6.0,0.2578311999991612
6.1,0.2578311999991612
6.2,0.2578311999991612
6.3,0.2578311999991612
6.4,0.2578311999991612
6.5,0.2578311999991612
6.6,0.2578311999991612
6.7,0.2578311999991612
6.8,0.2578311999991612
6.9,0.2578311999991612
7.0,0.2578311999991612
7.1,0.2578311999991612
7.2,0.2578311999991612
7.3,0.2578311999991612
7.4,0.2578311999991612
7.5,0.2578311999991612
7.6,0.2578311999991612
7.7,0.2578311999991612
7.8,0.2578311999991612
7.9,0.2578311999991612
8.0,0.2578311999991612
8.1,0.2578311999991612
8.2,0.2578311999991612
8.3,0.2578311999991612
8.4,0.2578311999991612
8.5,0.2578311999991612
8.6,0.2578311999991612
8.7,0.2578311999991612
8.8,0.2578311999991612
8.9,0.2578311999991612
9.0,0.2578311999991612
9.1,0.2578311999991612
9.2,0.2578311999991612
9.3,0.2578311999991612
9.4,0.2578311999991612
9.5,0.2578311999991612
9.6,0.2578311999991612
9.700000000000001,0.2578311999991612
9.8,0.2578311999991612
9.9,0.2578311999991612
10.0,0.2578311999991612
