Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP,Inflation Rate,S&P 500 (includes dividends)2,US Small cap (bottom decile)22,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,S&P 500 (includes dividends)3,US Small cap (bottom decile)22,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks minus T. Bills,Stocks minus T.Bonds
1928,0.43811155152887893,0.5991,0.0308,0.008354708589799302,0.03219551470232438,0.01491053677932408,0.0009689922480620172,143.8111551528879,159.91,103.08,100.83547085897993,103.21955147023243,101.49105367793241,100.09689922480621,0.40731155152887893,0.4297568429390796,0.16098844847112104,0.4059160368265545,Historical ERP,-0.0115607,0.45493157903462444,0.6178029343835276,0.042856147059308514,0.02014833747484457,0.04426798358009876,0.02678084206012854,0.012676238437769438,145.49315790346245,161.78029343835277,104.28561470593085,102.01483374748446,104.42679835800988,102.67808420601285,101.26762384377695,0.41207543197531593,0.4347832415597799
1929,-0.0829794661190966,-0.4661,0.0316,0.04203804156320426,0.03017856239904043,-0.020568070519098924,-0.0014520813165538327,131.8777822763307,85.375949,106.337328,105.074396573995,106.33456914507781,99.40357852882704,99.9515503875969,-0.1145794661190966,-0.12501750768230085,-0.3831205338809034,-0.11315802851813703,Historical ERP,0.005848,-0.08831102325510076,-0.4692040944556235,0.025602277878963742,0.03597963267134219,0.024189104515831783,-0.026262487492244357,-0.007257638645753572,132.64450825239172,85.8723173548454,106.95556399241065,105.68528999274699,106.95278909774547,99.98150230382483,100.53266002340472,-0.1139133011340645,-0.12429065592644295
1930,-0.25123636363636365,-0.5003,0.0455,0.045409314348970366,0.005397809464823829,-0.04299999999999993,0.0009694619486184664,98.74528781279727,42.66236171530001,111.17567642400002,109.84575287805193,106.90854288884708,95.12922465208749,100.04844961240309,-0.29673636363636363,-0.29664567798533403,-0.24906363636363632,-0.25663417310118747,Historical ERP,-0.0639535,-0.20007858972429649,-0.4661589995796148,0.11693169089356137,0.11683480932728285,0.07408959860949627,0.022385105868138133,0.0693586931296879,106.10518210658037,45.84216380512748,119.46205894051774,118.03301069774818,114.87687831216354,102.21959881775145,107.50547393947929,-0.31701028061785785,-0.31691339905157934
1931,-0.4383754889178619,-0.44659999999999994,0.0231,-0.02558855961942253,-0.15680775082667592,-0.08150470219435735,-0.17384987893462467,55.457773989527276,23.60935097324703,113.7438345493944,107.03495828159154,90.14445473428975,87.37574552683898,82.65503875968992,-0.4614754889178619,-0.41278692929843935,-0.008224511082138064,-0.28156773809118596,Historical ERP,-0.0931677,-0.3806743417915991,-0.38974383687038927,0.1282130113803841,0.07452220259531717,-0.07017841206877595,0.012861250978425165,-0.08897144371084342,65.71366174748013,27.97546299327621,134.77864926298244,126.829090633901,106.8150014087979,103.53427073306048,97.94055671626536,-0.5088873531719832,-0.45519654438691626
1932,-0.08642364532019696,0.20489999999999997,0.0107,0.08790306990477326,0.23589601675740196,-0.10466439135381123,0.21277842907385724,50.66491100000872,28.44690698766534,114.96089357907292,116.44365970167279,111.40917253887663,78.23061630218689,100.24224806201552,-0.09712364532019696,-0.17432671522497023,0.29132364532019694,-0.32231966207759893,Historical ERP,-0.1027397,0.01818430468817467,0.3428656099016081,0.12642897495854877,0.21247208853971733,0.3774107878810664,-0.002145075797749252,0.3516461489200595,66.90861899487196,37.56728717474572,151.81857573559907,153.77673240847906,147.12813524800953,103.31218187467337,132.38097630862674,-0.1082446702703741,-0.19428778385154266
1933,0.49982225433526023,1.4834,0.0096,0.01855272089185736,0.1296689369754826,-0.03811944091486652,0.2725954567423874,75.9883610317284,70.6450488131681,116.06451815743202,118.60400641974435,125.8554815113109,75.24850894632208,127.56782945736434,0.49022225433526023,0.48126953344340284,0.9835777456647399,0.37015331735977763,Historical ERP,0.007633600000000001,0.4884599464877515,1.4645863337625902,0.0019515030066485917,0.010836400147690162,0.12111082537887063,-0.04540642641816073,0.2629545667615565,99.59079944867646,92.58782256741293,152.1148501426122,155.4431186142616,164.94694514435008,98.62114489028137,167.19115858133355,0.4865084434811029,0.4776235463400613
1934,-0.011885656970912803,0.20010000000000003,0.0027833333333333334,0.0796344261796561,0.18816429268482648,0.029062087186261465,0.3175085453854918,75.0851894387234,84.78112308068303,116.38756439963687,128.04896841358894,149.53698917039497,77.43538767395627,168.07170542635657,-0.014668990304246137,-0.0915200831505689,0.21198565697091282,-0.2000499496557393,Historical ERP,0.0151515,-0.02663361771214723,0.18218807734609066,-0.012183567346023327,0.0635204953936983,0.17043051474073234,0.01370296668651072,0.29784425810875703,96.93833616851329,109.45621994663087,150.26154862156943,165.3169425141809,193.05893791021302,99.97254715329845,216.9880851713344,-0.014450050366123901,-0.09015411310584553
1935,0.4674042105263158,0.5318,0.001675,0.04472047729656613,0.1330773186567917,0.09765833726229745,0.004324012683770695,110.18032313054879,129.86772433499027,116.58251357000627,133.77537939837757,169.43697072920085,84.99759887945625,168.79844961240312,0.46572921052631583,0.42268373322974967,0.06439578947368424,0.33432689186952413,Historical ERP,0.029850699999999997,0.42487081916467706,0.4874000668252205,-0.027359014272651194,0.014438769907682891,0.10023454725698766,0.0658422014591995,-0.02478678444965776,138.12460646489038,162.80518886305478,146.15054076820124,167.70391580898482,212.4101131455581,106.55495974335525,211.60964827604855,0.45222983343732825,0.41043204925699417
1936,0.3194341027550261,0.9281999999999999,0.001725,0.0501787540454506,0.11383815871922703,0.03218601454670411,0.000861079219288019,145.3756757910145,250.41094606272824,116.78361840591452,140.4880612585456,188.72536349597664,87.73333283342535,168.9437984496124,0.3177091027550261,0.2692553487095755,0.6087658972449739,0.20559594403579906,Historical ERP,0.014492799999999998,0.30058498468892636,0.9006541988272365,-0.012585402281810154,0.03517615309389144,0.09792613483232904,0.017440453541616163,-0.013436981298154071,179.64278918430344,309.4363658034263,144.31117741892933,173.60309442592674,233.2106145252003,108.41332656838803,208.7662533896543,0.3131703869707365,0.2654088315950349
1937,-0.3533672875436554,-0.5328,0.002758333333333333,0.01379146059646038,-0.044161916839982614,0.025633912223270494,-0.0022942357327214724,94.00466756191786,116.99199400050662,117.10574655335085,142.42559681966594,180.39088968767183,89.98228138633235,168.55620155038758,-0.3561256208769887,-0.36715874814011573,-0.17943271245634468,-0.30920537070367277,Historical ERP,0.028571399999999997,-0.371329289871034,-0.5457777651604935,-0.025096037734149035,-0.014369385930368517,-0.07071294889200941,-0.002855890973372799,-0.03000825779593075,112.93615984604418,140.55287761584736,140.6895386649644,171.1085245634144,216.7196042592057,108.10370992764805,202.50154183884698,-0.34623325213688494,-0.35695990394066546
